idx,true_label,pr_score,pr_prediction,pr_correct,pr_all_predictions,ng_score,ng_prediction,ng_correct,ng_all_predictions,co_score,co_prediction,co_correct,co_all_predictions
0,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
1,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
2,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.6,1,True,"[1, 5, 1, 1, 8]",0.6,1,True,"[1, 6, 1, 6, 1]"
3,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True,"[0, 5, 0, 0, 0]",0.6,6,False,"[1, 6, 6, 6, 1]"
4,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
5,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,6,False,"[1, 6, 6, 6, 1]"
6,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",0.8,4,True,"[4, 4, 4, 6, 4]"
7,9,0.8,9,True,"[9, 9, 9, 0, 9, 9, 9, 0, 9, 9]",0.4,1,False,"[1, 9, 1, 9, 5]",0.4,1,False,"[1, 8, 6, 6, 1]"
8,5,0.8,6,False,"[5, 6, 6, 6, 5, 6, 6, 6, 6, 6]",0.8,5,True,"[5, 6, 5, 5, 5]",0.6,6,False,"[2, 6, 6, 6, 5]"
9,9,0.6,7,False,"[7, 9, 9, 7, 7, 7, 9, 7, 9, 7]",0.8,7,False,"[7, 7, 9, 7, 7]",0.4,9,True,"[9, 7, 1, 7, 9]"
10,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]"
11,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
12,9,1.0,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,9,True,"[9, 9, 9, 9, 9]",0.4,9,True,"[9, 8, 1, 6, 9]"
13,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]"
14,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
15,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
16,9,1.0,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,9,True,"[9, 9, 9, 9, 9]",0.4,1,False,"[1, 8, 6, 6, 1]"
17,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
18,3,0.9,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 8, 3]",0.8,3,True,"[3, 5, 3, 3, 3]",0.4,2,False,"[2, 8, 2, 6, 3]"
19,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
20,9,0.9,9,True,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 7]",0.6,7,False,"[7, 7, 9, 7, 9]",0.4,9,True,"[9, 8, 1, 7, 9]"
21,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]"
22,6,1.0,6,True,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,6,True,"[6, 6, 6, 6, 6]",0.8,6,True,"[6, 6, 6, 6, 4]"
23,5,1.0,5,True,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]",1.0,5,True,"[5, 5, 5, 5, 5]"
24,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
25,0,0.6,0,True,"[3, 0, 2, 0, 2, 3, 0, 0, 0, 0]",0.4,3,False,"[3, 5, 2, 3, 0]",0.4,6,False,"[2, 8, 6, 6, 5]"
26,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.8,7,True,"[7, 7, 6, 7, 7]"
27,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
28,0,1.0,0,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,0,True,"[0, 0, 0, 0, 0]",0.4,0,True,"[0, 8, 6, 6, 0]"
29,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.8,1,True,"[1, 8, 1, 1, 1]"
30,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
31,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]"
32,3,1.0,3,True,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]",1.0,3,True,"[3, 3, 3, 3, 3]"
33,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",0.8,4,True,"[4, 4, 4, 6, 4]"
34,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
35,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
36,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]"
37,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.8,1,True,"[1, 8, 1, 1, 1]"
38,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
39,1,0.9,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
40,1,1.0,1,True,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1,True,"[1, 1, 1, 1, 1]",0.6,1,True,"[1, 8, 1, 6, 1]"
41,7,1.0,7,True,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,7,True,"[7, 7, 7, 7, 7]",0.8,7,True,"[7, 7, 1, 7, 7]"
42,4,1.0,4,True,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]",1.0,4,True,"[4, 4, 4, 4, 4]"
43,2,1.0,2,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]",1.0,2,True,"[2, 2, 2, 2, 2]"
